,date,username,name,tweet,urls,retweets_count,likes_count,hashtags,id
1975,2020-03-22,sofiafdd_,PIA,Emang paling bener #DiRunahAja,[],0,0,['#dirunahaja'],e939455a-b030-4a6f-8bea-4347f4669be9
1976,2020-03-22,bukanisol,FAISOL ABRORI 🦄,"Iya, harus banget yang seperti ini diviralin kak.... Karena memang mengedukasi untuk masyarakat umum, makin cinta sama KoinWorks deh, semoga brand lain pada ikutan juga yaaa",[],0,1,[],bd590cdb-7c06-49fd-b244-4b8f128a1dfa
1977,2020-03-22,an_carlile88,Angga Schmitt,Sama Kaya Aku,[],0,0,[],67537cf5-1de3-4f5d-a44f-0b120c2d4ae1
1978,2020-03-22,julianmj_,𝐉 𝐔 𝐋,Up,[],0,0,[],1cde4e40-1b8c-4be5-a628-914a741e791f
1979,2020-03-22,julianmj_,𝐉 𝐔 𝐋,Up,[],0,1,[],6c2389f1-989b-43b6-bd86-498a575a5105
1980,2020-03-22,blogsadli,Pengagum Rahasiamu,"Yang kayak gini ini bang, kudu mengedukasi masyarakat *awam khususnya. Karena nyatanya di masyarakat masih banyak yang belum mengerti akan hal ini...

Semoga makin banyak yg mengerti, semakin banyak yang sosialisasi",[],0,0,[],17ab02be-6bb5-4385-b34b-2881dbf61483
1981,2020-03-22,an_carlile88,Angga Schmitt,Typo nih,[],0,0,[],b1c498c9-f77b-412c-a4ac-38246ceba167
1982,2020-03-22,yuk_ngegalau,Yuk Ngegalau,Keren nih billboardnya @koinworks selalu mengingatkan agar dirumah aja untuk melakukan Gerakan Social Distancing buat meredam persebaran virus corona ini. Mantuuullss!!!,[],0,0,[],374df248-1c9d-4b98-902d-14e1d4aa0684
1983,2020-03-22,ayy_only,Ayy,Jgn kelayapan ben,[],0,0,[],18dbafee-5423-4ecb-8800-8e0bb85cf17b
1984,2020-03-22,ayy_only,Ayy,Aamiin. Semoga banyak yang mengikuti langkah koinworks buat mengedukasi warga,[],0,2,[],7edb7535-dd89-4ea6-b348-1c99ce58753a
1985,2020-03-22,ayy_only,Ayy,Jaga kesehatan kak,[],0,1,[],23fb7dfd-2c0c-49ea-ba89-0a4ea6be5c74
1986,2020-03-22,bukanisol,FAISOL ABRORI 🦄,Efektif bnget ini kak semoga Corona di Indonesia semakin berkurang,[],0,0,[],1a55d5fe-bfa0-4e00-a6a1-a558291fac93
1987,2020-03-22,benbeen_,Beni.,Iya dek,[],0,0,[],c0fbb523-b08c-47ff-ba19-3fcd011a3081
1988,2020-03-22,dodon_jerry,IG @dodon_jerry,"Sudah lihat banyak video kan bagaimana virus Corona menyebar? Dari satu orang ke orang lainnya dengan cepat tanpa disadari. Nih coba liat billboardnya  @koinworks, sudah perduli untuk mengingatkan. Apa susahnya sih jadi kaum rebahan dirumah, ikutan #GerakanSocialDistancing pic.twitter.com/eqOb364AZM",[],8,10,['#gerakansocialdistancing'],5cde4e96-cebe-4e2f-a6ea-8215a68c6b97
1989,2020-03-22,raissaaowena,Mei 🐱,Stay at home Mas,[],0,1,[],a7fada5c-dda8-4c01-838b-87af8557f401
1990,2020-03-22,mfahminhk,Fahmi NHK,Seminggu tidak kemanapun. Masih lanjut seminggu ke depan tetap #DiRumahAja,[],1,1,['#dirumahaja'],814247ae-c230-4262-8be9-a1001554a809
